,SSC_CODE_2016,SSC_NAME_2016,1st_language,2nd_language,3rd_language,Latitude,Longitude,Primary_school_ranking,Secondary_school_ranking,yr12_school_ranking,The median of Housing price (k Dollars)
579,10740,Cabramatta,51.0,7.0,27,-33.8954675,150.9384081,0,0,0,821.0
580,12275,Lansvale,51.0,2.0,7,-33.906913,150.9685549,0,0,0,705.0
581,10792,Canley Vale,51.0,7.0,27,-33.88642,150.946,0,0,0,808.0
582,12785,Mount Pritchard,51.0,2.0,41,-33.898,150.901,0,0,0,635.0
583,10741,Cabramatta West,51.0,27.0,7,-33.8947,150.915,0,0,0,754.0
584,10791,Canley Heights,51.0,7.0,27,-33.88502,150.9276,0,0,0,758.0
585,11377,Edensor Park,51.0,4.0,8,-33.88095,150.87516,0,0,0,820.0
586,11480,Fairfield West,51.0,2.0,4,-33.87112,150.92322,0,0,0,705.0
587,11479,Fairfield Heights,4.0,2.0,51,-33.86848,150.94239,0,0,0,773.0
588,11761,Greenfield Park,4.0,51.0,8,-33.87676,150.88819,0,0,0,770.0
589,13258,Prairiewood,51.0,4.0,42,-33.861,150.9048,0,0,0,807.0
590,11943,Horsley Park,24.0,31.0,4,-33.8417894,150.8553834,0,0,0,2400.0
591,12796,Mount Vernon,24.0,4.0,9,-33.857,150.81,0,0,0,0.0
592,14264,Wetherill Park,4.0,2.0,42,-33.84975000000001,150.91101,0,0,0,751.0
593,14089,Wakeley,51.0,4.0,2,-33.8762,150.9123,0,0,0,739.0
594,13641,St Johns Park,51.0,7.0,9,-33.8847,150.907,0,0,0,780.0
595,10852,Casula,2.0,20.0,18,-33.9503864,150.9044946,0,0,0,750.0
596,12712,Moorebank,2.0,18.0,51,-33.9397082,150.9249864,0,0,0,900.0
597,10908,Chipping Norton,2.0,51.0,18,-33.911,150.959,0,0,0,889.0
598,14079,Voyager Point,2.0,20.0,30,-33.959,150.979,0,0,0,1000.0
599,14192,Wattle Grove,2.0,20.0,32,-33.9492164,150.9424079,0,0,['70'],794.0
600,11844,Hammondville,2.0,18.0,42,-33.9522602,150.9601708,0,0,0,740.0
601,13487,Sandy Point,24.0,18.0,50,-33.976,150.9926,0,0,0,0.0
602,13229,Pleasure Point,2.0,29.0,18,-33.96776,150.978,0,0,0,0.0
603,12361,Liverpool,2.0,41.0,20,-33.9285567,150.9179595,0,0,0,760.0
604,14177,Warwick Farm,2.0,51.0,41,-33.911343,150.9381637,0,0,0,677.0
605,10838,Cartwright,2.0,51.0,40,-33.9240777,150.8914686,0,0,0,540.0
606,12422,Lurnea,2.0,51.0,20,-33.9326,150.900826,0,0,0,640.0
607,13260,Prestons,2.0,20.0,42,-33.9422412,150.8673973,0,0,0,732.0
608,11827,Gymea Bay,18.0,32.0,24,-34.0496,151.0864,0,0,0,1400.0
609,11826,Gymea,32.0,18.0,7,-34.0333,151.08556,0,0,0,1200.0
610,11743,Grays Point,17.0,42.0,39,-34.05508,151.07492,0,0,0,1200.0
611,12645,Miranda,32.0,18.0,7,-34.0299364,151.1055499,['61'],0,0,1200.0
612,14519,Yowie Bay,18.0,32.0,24,-34.04977,151.10334,0,0,0,1900.0
613,13766,Taren Point,18.0,32.0,2,-34.01909,151.12028,0,0,0,1400.0
614,13718,Sylvania Waters,18.0,32.0,7,-34.02318,151.11156,0,0,0,1600.0
615,13717,Sylvania,18.0,32.0,2,-34.0080021,151.1056919,0,0,0,1200.0
616,12060,Kangaroo Point,18.0,32.0,7,-34.002,151.096,0,0,0,0.0
617,10816,Caringbah South,18.0,24.0,32,-34.0529294,151.1199309,0,0,0,1600.0
618,11266,Dolans Bay,18.0,9.0,24,-34.06259,151.12641,0,0,0,0.0
619,12216,Kurnell,18.0,17.0,15,-34.01159,151.20686,0,0,0,1200.0
620,11764,Greenhills Beach,18.0,32.0,1,-34.034689,151.1646,0,0,0,0.0
621,11119,Cronulla,18.0,42.0,37,-34.05744,151.15219,0,0,0,1900.0
622,10672,Bundeena,17.0,15.0,12,-34.08341619999999,151.1515469,0,0,0,1000.0
623,14410,Woolooware,18.0,24.0,39,-34.04788,151.14113,0,0,0,1700.0
624,12322,Lilli Pilli,18.0,24.0,29,-34.068333,151.115833,0,0,0,2400.0
625,13244,Port Hacking,18.0,32.0,24,-34.069,151.1227,0,0,0,1700.0
626,10705,Burraneer,18.0,24.0,32,-34.06996,151.13664,0,0,0,2000.0
627,11883,Heathcote,17.0,7.0,24,-34.08506,151.00808,0,0,0,905.0
628,14182,Waterfall,22.0,42.0,25,-34.1424139,150.9918338,0,0,0,0.0
629,11974,Illawong,2.0,18.0,7,-34.00057,151.03587,0,0,0,1200.0
630,10031,Alfords Point,18.0,2.0,29,-33.9848,151.02142,0,0,0,1200.0
631,10193,Barden Ridge,18.0,2.0,42,-34.032,151.01,0,0,0,1200.0
632,12567,Menai,18.0,2.0,32,-34.0118,151.0089,0,0,0,1000.0
633,10177,Bangor,18.0,24.0,32,-34.01908,151.02735,0,0,0,1000.0
634,14420,Woronora,18.0,32.0,7,-34.02772,151.04152,0,0,0,1200.0
635,10469,Bonnet Bay,18.0,17.0,36,-34.01025,151.05238,0,0,0,1200.0
636,12001,Jannali,32.0,18.0,7,-34.01695,151.06522,0,0,0,1000.0
637,13112,Oyster Bay,18.0,32.0,7,-34.00754,151.07514,0,0,0,1200.0
638,10996,Como,32.0,7.0,18,-34.0045,151.06379,0,0,0,1200.0
639,12073,Kareela,32.0,18.0,7,-34.01503,151.08046,0,0,0,1100.0
640,12172,Kirrawee,32.0,7.0,18,-34.0357295,151.0707945,0,0,0,1100.0
641,13701,Sutherland,32.0,39.0,7,-34.0297415,151.059275,0,0,0,1100.0
642,12371,Loftus,32.0,42.0,24,-34.0465,151.0471,0,0,0,1000.0
643,11422,Engadine,32.0,42.0,24,-34.065722,151.012664,0,0,0,917.0
644,14485,Yarrawarrah,18.0,17.0,24,-34.0552,151.0321,0,0,0,1000.0
645,14422,Woronora Heights,18.0,17.0,7,-34.030434,151.030555,0,0,0,1100.0
