,MB_CODE_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
1276,10232740000,10881,Chakola,1,New South Wales,120.454
1277,10232521000,10353,Billilingra,1,New South Wales,43.6892
1278,10233940000,12862,Murrumbucca,1,New South Wales,151.5782
1282,10233100000,10559,Bredbo,1,New South Wales,57.1937
1288,10712470000,11033,Coolringdon,1,New South Wales,108.3277
1289,10233950000,13624,Springfield (Snowy Monaro Regional - NSW),1,New South Wales,199.2197
1290,10234150000,12440,Maffra (NSW),1,New South Wales,69.1933
1291,10712340000,12874,Myalla (NSW),1,New South Wales,80.139
1292,10712230000,10068,Arable,1,New South Wales,116.3272
1293,10712310000,10430,Bobundara,1,New South Wales,128.9197
1294,10712330000,13815,The Brothers,1,New South Wales,119.516
1296,10712710000,10058,Anglers Reach,1,New South Wales,0.1094
1308,10712200000,10316,Berridale,1,New South Wales,0.0465
1316,10712220000,11054,Cootralantra,1,New South Wales,0.8537
1317,10712450000,11453,Eucumbene,1,New South Wales,3.6153
1319,10712400000,13567,Snowy Plain,1,New South Wales,103.8734
1320,10712430000,12967,Nimmo,1,New South Wales,18.1917
1321,10713530000,13387,Rocky Plain (NSW),1,New South Wales,25.3318
1322,10712500000,12608,Middlingbank,1,New South Wales,70.9657
1329,10712730000,12052,Kalkite,1,New South Wales,21.2133
1336,11205174500,11103,Crackenback,1,New South Wales,39.0689
1337,10712483000,12030,Jindabyne,1,New South Wales,11.9932
1342,11204712600,11904,Hill Top (Snowy Monaro Regional - NSW),1,New South Wales,39.6685
1344,10712742000,10117,Avonside,1,New South Wales,57.3648
1345,10712741000,11352,East Jindabyne,1,New South Wales,40.4738
1347,10713473000,11190,Dalgety,1,New South Wales,25.6362
1352,10712570000,11977,Ingebirah,1,New South Wales,16.986
1354,10713480000,11787,Grosses Plain,1,New South Wales,15.9875
1357,11205763900,12698,Moonbah,1,New South Wales,39.0093
1369,10712370000,11986,Ironmungy,1,New South Wales,21.9026
1371,10712140000,10281,Beloka,1,New South Wales,67.0084
1372,10712180000,13037,Numbla Vale,1,New South Wales,120.1571
1373,10712830000,12028,Jimenbuen,1,New South Wales,155.464
1378,10712350000,13161,Paupong,1,New South Wales,154.6486
1469,10253800000,10853,Catalina,1,New South Wales,0.0512
1489,10255530000,10229,Batemans Bay,1,New South Wales,0.0673
1535,10249620000,12920,Nelligen,1,New South Wales,1.6304
1543,11204583000,12376,Long Beach,1,New South Wales,0.0304
1565,10254120000,10287,Benandarah,1,New South Wales,0.5743
1585,10249682000,12982,North Batemans Bay,1,New South Wales,0.0639
1589,10251330000,13698,Surfside,1,New South Wales,0.3452
1615,10249471000,12460,Maloneys Beach,1,New South Wales,3.225
1679,10250760000,12321,Lilli Pilli (Eurobodalla - NSW),1,New South Wales,0.0431
1708,10250990000,12461,Malua Bay,1,New South Wales,2.5329
1709,10252340000,13697,Surf Beach (NSW),1,New South Wales,1.6226
1756,10249110000,11236,Denhams Beach,1,New South Wales,0.0189
1775,10252410000,13695,Sunshine Bay,1,New South Wales,0.0622
1800,10256830000,13407,Rosedale (NSW),1,New South Wales,0.0905
1801,10930290000,11789,Guerilla Bay,1,New South Wales,0.521
1883,10249810000,10228,Batehaven,1,New South Wales,0.9634
1935,11205101100,10253,Bega,1,New South Wales,0.0472
2003,10077270000,13774,Tathra,1,New South Wales,0.0463
2040,10075730000,12051,Kalaru,1,New South Wales,4.9593
2047,11205674000,14103,Wallagoot,1,New South Wales,13.3167
2049,10079770000,12005,Jellat Jellat,1,New South Wales,10.6025
2054,10928090000,10524,Bournda,1,New South Wales,10.2736
2072,10079070000,10388,Black Range (NSW),1,New South Wales,11.6766
2079,10075010000,13768,Tarraganda,1,New South Wales,1.2967
2082,10928330000,10906,Chinnock,1,New South Wales,3.1841
2084,10079921000,13343,Reedy Swamp,1,New South Wales,7.4615
2085,11205563500,11263,Doctor George Mountain,1,New South Wales,7.1748
2086,11204899700,12656,Mogareeka,1,New South Wales,0.1602
2127,10072500000,12066,Kanoona,1,New South Wales,16.3007
2128,10072480000,11572,Frogs Hollow,1,New South Wales,16.3434
2129,10078800000,13914,Toothdale,1,New South Wales,17.5952
2131,10073500000,12162,Kingswood (Bega Valley - NSW),1,New South Wales,6.3786
2132,10077131000,14362,Wolumla,1,New South Wales,2.345
2135,10072530000,14501,Yellow Pinch,1,New South Wales,10.1852
2136,10075220000,13602,South Wolumla,1,New South Wales,13.4411
2147,10075360000,14443,Wyndham (NSW),1,New South Wales,12.9291
2153,10078890000,12880,Myrtle Mountain,1,New South Wales,10.1636
2160,10072510000,11246,Devils Hole,1,New South Wales,11.6594
2167,10072850000,11746,Green Cape,1,New South Wales,0.0012
2169,10072870000,11384,Edrom,1,New South Wales,0.0132
2174,10079280000,12901,Narrabarba,1,New South Wales,102.4798
2175,10079510000,14369,Wonboyn,1,New South Wales,6.3905
2177,10079820000,12886,Nadgee,1,New South Wales,419.7164
2178,10079830000,13869,Timbillica,1,New South Wales,106.831
